Code Line,User Explanation,Line-Explanation in PCEX,Annotation Score
boolean isBroken = scan.nextBoolean();,"Sets the boolean ""isBroken"" to the next input it receives from the user",We need to read whether the phone is broken and store it in a variable.,3
boolean isBroken = scan.nextBoolean();,"Sets the boolean ""isBroken"" to the next input it receives from the user","The variable isBroken is true when the phone is broken, and false otherwise.",2
boolean isBroken = scan.nextBoolean();,"Sets the boolean ""isBroken"" to the next input it receives from the user",We read whether the phone is broken by calling the nextBoolean() method because this input is a boolean.,3
scan.close();,Stops allowing the user to send input,We close the scanner as we do not want to process any input from the user in the rest of the program.,3
boolean needPhone = isBroken || phoneAge >= 3;,Sets needPhone to true if isBroken is true or phoneAge is greater than 3.,We use the || operator (called or) to combine the two conditions.,2
boolean needPhone = isBroken || phoneAge >= 3;,Sets needPhone to true if isBroken is true or phoneAge is greater than 3.,The first condition is to test if the phone is broken and the second condition is to test if the phone age is at least 3 years old.,3
boolean needPhone = isBroken || phoneAge >= 3;,Sets needPhone to true if isBroken is true or phoneAge is greater than 3.,We need two conditions to determine if it is the time for a new phone.,2
boolean needPhone = isBroken || phoneAge >= 3;,Otherwise it sets needPhone to false.,We use the || operator (called or) to combine the two conditions.,1
boolean needPhone = isBroken || phoneAge >= 3;,Otherwise it sets needPhone to false.,The first condition is to test if the phone is broken and the second condition is to test if the phone age is at least 3 years old.,1
boolean needPhone = isBroken || phoneAge >= 3;,Otherwise it sets needPhone to false.,We need two conditions to determine if it is the time for a new phone.,1
System.out.println(needPhone);,Prints out the needPhone boolean that was set in the previous line,This statement prints true/false depending on whether it is time to buy a new phone.,5
System.out.println(needPhone);,Prints out the needPhone boolean that was set in the previous line,The printed value is followed by an end-of-line character in the end.,1
System.out.println(needPhone);,Prints out the needPhone boolean that was set in the previous line,This statement prints true/false depending on whether it is time to buy a new phone.,4
System.out.println(needPhone);,Prints out the needPhone boolean that was set in the previous line,The printed value is followed by an end-of-line character in the end.,1
"String fullName = ""John Smith""",Sets the fullName string to John Smith,We define a string variable to hold the name.,4
"String firstInitial = fullName.substring(0, 1);",Sets the firstInitial string to the first character in the fullName String.,We need to extract the first letter from the first name.,4
"String firstInitial = fullName.substring(0, 1);",Sets the firstInitial string to the first character in the fullName String.,"We do this by calling the substring(0,1) method.",2
